timestamp_iso,raw_tof_mm,calibrated_tof_cm,filtered_tof_cm,t_detect,t_stop_command,response_time,total_time_from_start
2025-08-05T15:09:57.236198,318,32.2701,32.5339739343202,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.236198,318,32.2701,32.470892964198384,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.254957,318,32.2701,32.42289195565656,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.438600,317,32.180699999999995,32.36499421915646,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.455703,318,32.2701,32.34230907058821,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.496154,318,32.2701,32.32504697065388,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.651380,317,32.180699999999995,32.29053978461275,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.850852,317,32.180699999999995,32.26428179066123,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:57.850852,317,32.180699999999995,32.24430095984134,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.058055,317,32.180699999999995,32.22909669096269,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.062894,317,32.180699999999995,32.217527112389206,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.074722,318,32.2701,32.230095040938636,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.265415,317,32.180699999999995,32.21828679959171,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.471026,318,32.2701,32.2306731194277,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.471026,318,32.2701,32.24009840003294,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.509471,317,32.180699999999995,32.22589878343415,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.672250,317,32.180699999999995,32.2150936877558,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.882045,317,32.180699999999995,32.206871628251164,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:58.896247,317,32.180699999999995,32.20061511146407,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:59.087119,317,32.180699999999995,32.19585426020957,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:59.091255,317,32.180699999999995,32.19223152483799,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:59.287177,317,32.180699999999995,32.18947483052622,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:59.491151,317,32.180699999999995,32.187377143902964,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
2025-08-05T15:09:59.514943,316,32.0913,32.164409208629074,1754381395.6027274,1754381395.6027274,0.0,5.321544647216797
