timestamp_iso,raw_tof,filtered_tof,t_detect,t_stop_command,response_time,total_time_from_start
2025-08-01T16:20:33.221061,391,391.7071565414443,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.260942,392,391.7771628855992,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.322286,391,391.59137648387457,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.360929,392,391.6890608871415,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.421574,391,391.52433590456275,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.461442,391,391.3989896189786,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.521317,391,391.3036082684161,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.578105,391,391.2310285187033,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.620935,390,390.9367422588365,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.670510,391,390.95186447881093,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.720781,391,390.96337162286346,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.781465,390,390.73307067739637,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.820743,390,390.5578248365476,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.881355,390,390.42447277986145,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.921466,390,390.32299949560945,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:33.981513,390,390.2457841329614,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.021443,389,389.94797043691733,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.081294,390,389.96040847981357,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.141654,390,389.9698731187078,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.180672,390,389.97707516730554,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.242663,387,389.2653838433292,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.280767,389,389.20194191855177,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.342779,388,388.91460902056144,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.381305,389,388.9350223510274,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.441813,387,388.47244128016615,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.481307,389,388.5985580030212,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.540160,386,387.9773539414276,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.578416,385,387.2655959744836,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.638162,385,386.723988891,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.697540,387,386.7899713404032,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
2025-08-01T16:20:34.738154,386,386.6011229850344,1754040031.96192,1754040031.96192,0.0,2.4233617782592773
